Feature,Train Losses,Test Losses
thetaalphamin,"[1.7930433435260125, 1.1203728520645286, 1.04861455593469, 0.9028468525634622, 0.7093810034248064, 0.5649851048892399, 0.47943591509225236, 0.4236375093460083, 0.3706479623632611, 0.33240937933606923, 0.299158014216513, 0.26779455677518305, 0.29989286413732563, 0.2789458753365391, 0.2469192717997533, 0.21672216535739178, 0.1999483125389747, 0.19834536820087792, 0.3067669376449765, 0.24926380813121796, 0.18946169007499264, 0.17345475897474108, 0.16176961980900675, 0.15603026157280184, 0.1565628504415728, 0.16485957548303423, 0.169078288213262, 0.14588343844098864, 0.13903563568052255, 0.13953799627861888, 0.1370730847120285, 0.12972949501478448, 0.1292813856084392, 0.12675341542037027, 0.12114666781897815, 0.12291512792965151, 0.11989057710710561, 0.11943176501202134, 0.12372414570934367, 0.11801824437559776, 0.11465989896711314, 0.11205976217422846, 0.10913278696671971, 0.10584154528266979, 0.10230687344973942, 0.10120921764733656, 0.10133440413002698, 0.10288335073669001, 0.11217678703789441, 0.09954801750070644, 0.10193048164529621, 0.09705133890768267, 0.09775866286934547, 0.10623683063489087, 0.1186411200829272, 0.0952909175517424, 0.09391053892531485, 0.08934217213459734, 0.08995916694402695, 0.08735040195708005, 0.08628095798897294, 0.08487332401410588, 0.08226641197249575, 0.08548202787367802, 0.10007891649345182, 0.09293400749283016, 0.0853282740374781, 0.10665710804597386, 0.2389816239757358]","[1.5401262663028858, 1.4014447927474976, 1.1940640255256936, 0.985006965972759, 0.763134135140313, 0.6511464715003967, 0.5638556634938275, 0.514162955460725, 0.47486893667115104, 0.4497261279159122, 0.4036822528750808, 0.40059403357682405, 0.5354573825995127, 0.36325922939512467, 0.3453255306791376, 0.3362854525998787, 0.3311557565574293, 0.44126911737300734, 0.4998199674818251, 0.32586330285778753, 0.32733848690986633, 0.30704373838724913, 0.30082536185229264, 0.3041274106061017, 0.31724356832327666, 0.36985904309484696, 0.311978194448683, 0.29480950092827835, 0.2941266844669978, 0.29737113912900287, 0.29264648755391437, 0.2915714372087408, 0.2850670682059394, 0.2827554632116247, 0.2970395137866338, 0.2817150172260072, 0.27999602920479244, 0.27583589046089735, 0.28128984184176836, 0.2810085675230733, 0.27573310611424623, 0.27204015133557496, 0.2699260297748778, 0.2727920506839399, 0.26646899625107096, 0.2708812251135155, 0.27216047876411015, 0.27565523430153177, 0.26636861485463603, 0.2662804270232165, 0.26702280784094773, 0.27278166071132376, 0.2679670254389445, 0.2870551237353572, 0.26514211021087786, 0.2672701947115086, 0.26049582936145643, 0.26378979230368577, 0.2567203376028273, 0.2627680042275676, 0.2632653371051506, 0.2609731720553504, 0.26119131401733114, 0.3083441345779984, 0.26638382618074063, 0.25676977744808904, 0.2621997302329099, 0.26559723085827297, 0.8307850184264006]"
thetaalphapct,"[33.99813518884047, 36.507145251867904, 37.43241392891362, 37.434821830605564, 37.43228048648474, 37.42628392633402, 36.83327296994767, 29.78774776098863, 25.139871309388358, 20.519840024552256, 15.492703833669987, 11.14449752951568, 8.983696712637848, 7.8428421740262015, 6.925865974066393, 6.339012640827107, 5.764406366168328, 5.342453326819078, 5.11741648080214, 4.692881111828786, 4.291857975833821, 3.980141027918402, 4.358516360228917, 3.932890577136346, 3.8485064326592213, 3.4955893777451426, 3.2279447699492834, 3.140995052625548, 3.155180220334035, 3.3827439524092764, 3.2617254302186787, 3.442821394722417, 3.397510438595178, 3.2842039027304017, 3.754733288063193, 3.0712651306728147, 2.7424202055301308, 2.671788476548105, 2.7193874817974164, 2.500908424269478, 2.3848411227172277, 2.317473735449449, 2.2615127293568738, 2.213665930729992, 2.173352493430084, 2.1300199211768382, 2.086337890265123, 2.039849582708107, 2.0243948270689764, 2.013860826222402, 1.9704715553319678, 1.9542116331604291, 1.9917930162177895, 1.938837447256412, 2.0406111996128873, 1.8934635643689137, 1.8711499110707697, 1.92778524362816, 2.921272394792089, 2.9773983820429386, 2.765983280145897, 2.4359095996280886, 2.1469309240017296, 1.8444759485856541, 1.7683184844142985, 1.7196161612024847, 1.65623887529913, 1.8019275800237116, 1.8760786618826524, 1.9478257793300557, 1.7771710989610203, 1.6981050630785384, 1.6425442853063907, 1.5827355474795934, 1.5568429614013095, 1.5349961676687565, 1.5543380233476747, 1.4957263042341988, 1.454286957686802, 1.4235397554793447, 1.3815469381944188, 1.3846434399766743, 1.3992792705319963]","[31.937779956393772, 44.12965308295356, 44.13552079377351, 44.13524627685547, 44.13039384064851, 44.116571779604314, 39.85489117657697, 30.928553263346355, 26.13728389033565, 20.557123254846644, 15.330273451628509, 11.963708383065683, 10.385054588317871, 9.425532341003418, 9.107934527926975, 8.25604640112983, 7.640862199995253, 7.318038286986174, 7.171131646191633, 6.694157635724103, 6.210680325826009, 6.01452276441786, 7.242781285886411, 5.914672798580593, 5.82689110438029, 5.241256148726852, 5.3105142381456165, 5.371132223694413, 5.1678191555870905, 5.621813350253635, 5.867398791842991, 4.924205612253259, 6.8608137766520185, 5.784020565174244, 5.2195362250010175, 4.891289905265525, 4.82636582409894, 4.947632771951181, 4.845598000067252, 4.753249813009192, 4.696667733015837, 4.683618881084301, 4.588497082392375, 4.548127430456656, 4.57363157802158, 4.563864884553133, 4.530795706642999, 4.472406899487531, 4.50136497285631, 4.455353065773293, 4.486276970969306, 4.638411371796219, 4.420893563164605, 4.500273519092136, 4.426702225649798, 4.492786451622292, 4.405815645500466, 5.575228099469785, 5.260879392977114, 6.490428730293557, 5.920445989679407, 5.30091796097932, 4.3713570435841875, 4.403207143147786, 4.386478971551965, 4.361884258411549, 4.412549080672087, 4.593150068212439, 5.015263795852661, 4.7646955737361205, 4.44473844104343, 4.396758450402154, 4.276306920581394, 4.343099143770006, 4.397940158843994, 4.322611261297156, 4.346055737248173, 4.313546357331453, 4.395092063479954, 4.291604236320213, 4.354091944517912, 4.371639251708984, 4.369475638424909]"
thetaalphastd,"[1.6699092320676119, 1.0896275459595446, 1.0520300505296238, 1.0404080231234711, 0.8065803973179944, 0.6594055896660067, 0.5781222188247824, 0.5146322711458746, 0.46663362293873195, 0.4316106747906163, 0.3984851078042444, 0.3725549280643463, 0.3379847196475515, 0.37858060367827145, 0.34363600330532723, 0.33346288946439634, 0.3166888418062678, 0.2841187704284236, 0.2604576084973677, 0.24954912403844437, 0.23854939723914526, 0.23114546655483967, 0.2311042164856533, 0.22343549132347107, 0.2916905182712483, 0.28416350146509567, 0.22760856826350373, 0.20151461576515772, 0.19908799680898775, 0.21288523021733985, 0.20872143079649727, 0.20648196733222818, 0.20795159294920149, 0.20829566863347898, 0.19119709870725307, 0.17735992821882357, 0.17497352946479366, 0.17940485224408922, 0.16770837554391824, 0.16032572090625763, 0.15585868875935394, 0.1528828616412181, 0.15337524886401194, 0.17966613820138969, 0.17522250790640992, 0.1639374483306453, 0.1498715728521347, 0.142948235824423, 0.13804234648650549, 0.13623944543442637, 0.1328365347295437, 0.13074177306778026, 0.12902867850267663, 0.1266690672568555, 0.13339043450805377, 0.12711102951247738, 0.1237419809935228, 0.12140270308503565, 0.14323150717987204, 0.146346814508708, 0.172653503013107, 0.17566538447479033, 0.1435199686378803, 0.16016340030814116, 0.19227724592640716, 0.20455370252987123, 0.1616683931283231, 0.17402813204054562, 0.18295441286743813, 0.18808912457722538]","[1.4822336479469582, 1.5129429631763034, 4.4370067296204745, 1.12431330592544, 0.9703615727248015, 0.8619058110095836, 0.7620800799793668, 0.6978725062476264, 0.6485535723191721, 0.622811883687973, 0.5712467774196908, 0.5473213681468257, 0.5424756816139927, 0.5202461006464781, 0.5694405646235855, 0.5187997332325688, 0.47598028734878256, 0.45905866887834335, 0.450371531424699, 0.4429719359786422, 0.4293746870976907, 0.43766168422169155, 0.4229342782938922, 0.462762662657985, 0.606767906083001, 0.4157642987039354, 0.4098420474264357, 0.4090125682177367, 0.4074411425325606, 0.4272112625616568, 0.4404684437645806, 0.4063264451645039, 0.44012741027054963, 0.40789239826025786, 0.38924851461693094, 0.39522629645135665, 0.38609519600868225, 0.3932674063576592, 0.39055533872710335, 0.3786064860997377, 0.3801179163985782, 0.3751698478504463, 0.40846620224140306, 0.43060274918874103, 0.43516210383839077, 0.3860812418990665, 0.3701321245343597, 0.36965560968275424, 0.36375978368299977, 0.3645751112037235, 0.365026225094442, 0.37196739073152896, 0.3657203145601131, 0.3676302234331767, 0.367572702743389, 0.3620919430697406, 0.37048461260618987, 0.3955176594080748, 0.3916329421378948, 0.36138994715831896, 0.45817825860447353, 0.40178433391782975, 0.3753705179249799, 0.40138732945477523, 0.4845422020664922, 0.40259689534151993, 0.39981234404775834, 0.38821060127682155, 0.5309396982192993, 0.37455065658798925]"
thetakurtosis,"[9.763743319601383, 6.537934897080907, 5.441051519142007, 5.567773863954364, 5.218606049159788, 4.910571287263115, 4.508671607611315, 3.973041394971452, 3.4723180105101386, 3.071676497189504, 2.9249429882697338, 2.682538680310519, 2.4844696341820485, 2.268082132879293, 2.091372566403083, 1.9528904231089466, 1.8345845375420913, 1.701430878549252, 1.6084933685806562, 1.5287469333072878, 1.4961337008566227, 1.3908722985465571, 1.3529696082169156, 1.2930889826900553, 1.497004841858486, 1.630167304344897, 1.563964621076044, 1.309680073891046, 1.164154756743953, 1.1096531287679132, 1.081082413781364, 1.056548334517569, 1.0476138220643096, 1.0157307251444403, 1.06936954439811, 1.3020171601817292, 1.1820827610087845, 0.9776179205696538, 0.900476556903911, 0.8662073612213135, 0.8382149327476069, 0.9269747756562143, 1.0001693761573647, 1.136278433619805, 0.9855135139429344, 0.9432195672449076, 0.82829878915031, 0.8556618353105941, 0.9969529138421113, 0.9692632241069146, 0.913539949453102, 0.8936968569485646, 0.8090242709753648, 0.8259237982192129, 0.873365894803461]","[10.818759211787471, 8.497429600468388, 9.54385033360234, 8.028474401544642, 8.242184621316415, 7.236191908518474, 6.395064830780029, 5.552187372136999, 4.719873905181885, 4.3985560381854025, 3.9462469772056297, 3.8107019707008645, 3.5602728967313415, 3.3283380137549505, 3.1472320556640625, 2.9701579765037254, 2.800608272905703, 2.712764201340852, 2.6106556256612143, 2.543660358146385, 2.556796974605984, 2.4179149557043007, 2.3961478692513927, 2.4314895735846624, 2.7634607862543175, 2.6587842835320368, 2.7471274181648537, 2.255961471133762, 2.268915785683526, 2.2198619842529297, 2.173570425422103, 2.1348622110154896, 2.2924190715507224, 2.3215929402245417, 3.1582518418629966, 2.647847369865135, 2.099965307447645, 2.1242781436001814, 2.0838607947031655, 2.0579986925478333, 2.0916934896398476, 2.4339880413479276, 2.5045310391320124, 2.1574899664631597, 2.0162119688811124, 2.036638794121919, 2.184247118455392, 2.084396967181453, 2.140178927668819, 2.373691117322003, 2.368577180085359, 2.1005556760010897, 2.03865079526548, 2.376191642549303, 2.04800644185808]"
thetameanrat,"[0.0347031462445574, 0.035571958166810705, 0.03428116714898145, 0.032225078217825796, 0.02673570752003283, 0.023650926871682115, 0.022123375099222613, 0.02282618815606495, 0.02236438047070548, 0.021381833467562245, 0.016975918116996874, 0.012507227407592648, 0.011807130227954883, 0.00862186293135274, 0.0060402101063925144, 0.00452817125983958, 0.003997747988422525, 0.003642768480481123, 0.0033403291006765838, 0.003084141831353026, 0.003032447805382171, 0.0028642214667754917, 0.0027462506517416463, 0.002687205435304006, 0.0024923114281780313, 0.0024766160113701844, 0.0024133211458629033, 0.0023708433343343576, 0.0023457151925507583, 0.0021571317876530986, 0.002076771365092048, 0.0020590290813794674, 0.002311419146486892, 0.002088890239631511, 0.0019303055827172015, 0.0019173081129578488, 0.002027424649809891, 0.001759504165746412, 0.0017528675874378884, 0.0016374558689213306, 0.0015989597623218906, 0.0017247200759022304, 0.0016034368012662766, 0.0015837052806262982, 0.0016134012828774328, 0.0016721145794639047, 0.0016759597248274763, 0.0015778023868201758, 0.001542401234267877, 0.0015424168844408585, 0.0013985121490890688, 0.0013170162641952903, 0.0012925587735086116, 0.0012553595204152308, 0.0012158578138728186, 0.0011839679736679173, 0.0012125915777430219, 0.0013410270451304485, 0.001247349770669386, 0.0012366897668162325, 0.0012281415588661748, 0.0011978185392986492, 0.0011290046628037432, 0.0011456580766705127, 0.0013604242802720587, 0.0012984612653523964, 0.001335479655162484, 0.0014041608137974762, 0.0019123741241066524, 0.0014389823849822552, 0.0012585187203444119, 0.0012003123487855465, 0.001184569447705487, 0.0010708201992905364, 0.0011106632685042776, 0.0010805003529519967, 0.0010785625935620013, 0.001016607420202696, 0.0010130414025383597, 0.0009930492510562235, 0.0010333922757538704, 0.0010534218327968188, 0.0009954487685254723, 0.0009778189376207455, 0.0009247085677002961, 0.0009485002066764348, 0.0009506768228503752, 0.0009307775422403554, 0.0009441146734697779, 0.0009835566150217826, 0.0010717945538004333, 0.0010855889545296723, 0.0011956879653844913, 0.0014718657179366586]","[0.03728062942348145, 0.037123251568388055, 0.044408907630929244, 0.02753305511066207, 0.026743314677366504, 0.024292788985702727, 0.02625429740658513, 0.02377441139132888, 0.023759398678386653, 0.020921470252452074, 0.015252636055703516, 0.015172891249811207, 0.011934149768893365, 0.008559546088454899, 0.005489429993623936, 0.0044208867130456145, 0.0042580716760346185, 0.0035559381099624764, 0.0034539657213759644, 0.003419139086165362, 0.0030888762083594447, 0.0030582616605830414, 0.0029138285942651608, 0.0028703169879951964, 0.0027079683107634387, 0.0026361342795469143, 0.0026653098822053936, 0.002570860312078838, 0.0024914184705940663, 0.0024946943718802046, 0.002380126552587306, 0.0029114970713163967, 0.002313223443235512, 0.002386569286938067, 0.0023976172130830862, 0.002312417797468327, 0.002193392340645746, 0.002136701709349398, 0.0021435185939211536, 0.0021289439992634236, 0.0023366545447734773, 0.0021752311192728855, 0.002030973719363963, 0.002175374215261804, 0.0021164469869324456, 0.00193133353928311, 0.0019748557738407894, 0.0020032003694386395, 0.0019896811098550206, 0.0019487590977439173, 0.0018198736986421325, 0.001896297973063257, 0.0017999192458336, 0.001811035568136032, 0.0017491837670267731, 0.0017730959096095627, 0.0018052678874314384, 0.0017802692147799665, 0.0018041434490846263, 0.0017395647354768934, 0.001741342966582764, 0.0017304954601934663, 0.0016867367559354062, 0.0019519785160405769, 0.0016613478073850274, 0.0017192988113189738, 0.0018212095342783465, 0.0030067179058850917, 0.001745576978902574, 0.001788461024665998, 0.001749805925000045, 0.001882126248717584, 0.0016356635907733882, 0.0016798983992042918, 0.0017283086587364476, 0.0015982965835266644, 0.0015284080894801904, 0.001552306469184933, 0.00153153406507853, 0.0015737340414758634, 0.0015504525810549105, 0.0015268116258084774, 0.0015765749720028704, 0.0014848184375161374, 0.0015793282590392563, 0.0015115038258954883, 0.001510112718851478, 0.0014899210116170623, 0.0015636783446771679, 0.001636110591115775, 0.0015610389420072789, 0.0015662661020609517, 0.001989452370994345, 0.001736682818133246]"
thetaminrat,"[0.013586395402561943, 0.013603429187018916, 0.013677234550551424, 0.013317942215164877, 0.013410349780658507, 0.013010733145869003, 0.013169477342294072, 0.01315993604794988, 0.013075834667345262, 0.012951216994310325, 0.012801830568965876, 0.012606312837100253, 0.012653845538086485, 0.012937461131445642, 0.013009154606821402, 0.012962720198732501, 0.012843791764440402, 0.012648822933013708, 0.014130238426040928, 0.013157300405063719, 0.013445820940553018, 0.013528341673455149]","[0.013618187254501713, 0.013921235101642433, 0.013713980990427511, 0.013075248476255822, 0.013040732592344284, 0.013326004388983603, 0.013368318823200685, 0.013306086193080302, 0.013187812813730151, 0.013047056755533925, 0.012888563589917289, 0.01169402628309197, 0.01305159633220346, 0.013186303277810415, 0.013178128369704441, 0.013085900874877418, 0.012930223580311847, 0.012106293294992711, 0.013138914273844825, 0.01356800893942515, 0.013710548756299195, 0.013732236603067981]"
thetapctrat,"[0.08832476484888005, 0.0708743191833766, 0.07166416929015573, 0.07185972580369913, 0.07174489042668972, 0.07100383445339382, 0.06340361393566402, 0.052487596939757186, 0.04111118080481043, 0.02971157600294869, 0.02680310715903651, 0.0234093881510901, 0.019714915562631947, 0.0153708122319208, 0.011596902185734713, 0.009481859340701462, 0.008379181267096187, 0.007575867636094116, 0.007004704958987686, 0.0065011451512856306, 0.006072693486820976, 0.005627914560291002, 0.005304256963701743, 0.004968699682855381, 0.00462522426233539, 0.0043366963026236814, 0.004103071346246409, 0.003944355366259532, 0.003826421922740509, 0.00378043513815358, 0.0035431977528375836, 0.0033634553601930165, 0.0032937311005058153, 0.003201247179740161, 0.003205912750003473, 0.003247159911003315, 0.0035058611274679315, 0.003092462434169819, 0.0028182909788809856, 0.0028257258895362887, 0.0027070975827299198, 0.0026484570896499, 0.00257715937804501, 0.0026100657458575267, 0.0025302223369198023, 0.002444932575530882, 0.0024504039594727867, 0.002368931649779936, 0.0023111593799735857, 0.0025078522410454615, 0.0029221522700884997, 0.0025713094773719895, 0.002452683375867189, 0.0022880846221562264, 0.0023032633042982162, 0.00226690304764318, 0.0020699219356449146, 0.001998170705090435, 0.0019712183352138075, 0.0019270001190169802, 0.001934752272406839, 0.0019052741535113386, 0.0018508246098205728, 0.0018649773874302518, 0.0018542481362292507, 0.0018338819104686099, 0.0018014643222691033, 0.0018141233573122969, 0.0018066260809922274, 0.0017568446489332138, 0.0017436127099296395, 0.0017897911910143382, 0.001773208955232546, 0.0017079699318856, 0.001708641837192875, 0.0017516985074353386, 0.0016712959205626317, 0.0016826058008690488, 0.0016985183871649908, 0.0017249125345908808, 0.0016428415777759169, 0.0015852661904404467, 0.001626716447853536, 0.0016071441394435067, 0.0015906740533504283, 0.0015785131462902394, 0.0015407880517777125, 0.001539397349950137, 0.0015474108820956833, 0.0015245865160634494, 0.001528427534174385, 0.001497933089750696, 0.0014876246404008202, 0.0015071064479789645, 0.0014912407111622534]","[0.07358024683263567, 0.07484112059076627, 0.07519245520234108, 0.07520625326368544, 0.07482637120065866, 0.07338044350897824, 0.06138339417952078, 0.06757228738731808, 0.044281371075797965, 0.0330924686320402, 0.029940140399116057, 0.025874108007108723, 0.02061261740271692, 0.014516869801338072, 0.011297591065091116, 0.00990597327688226, 0.008860741569488137, 0.008185035583597643, 0.007890783647006308, 0.00709944152859626, 0.006731729644040267, 0.006354212916145722, 0.005893590584121368, 0.005639628076029045, 0.00526252287198548, 0.004995834789480324, 0.004792133328953275, 0.0045723058455796155, 0.004713248495978338, 0.004450820248436045, 0.004209712199452851, 0.004218399300481434, 0.004134799000220718, 0.0040256572818314585, 0.003983888826850388, 0.004875866713485232, 0.004319403820705635, 0.0037080079524053466, 0.003686909089554791, 0.0035993926813481032, 0.0035409845101336637, 0.0034439691808074713, 0.0038129222424079976, 0.0035402369857938203, 0.0033690127785559053, 0.00330392605866547, 0.0032094263609636713, 0.0033826508593780024, 0.0033044514539479104, 0.004294354106403059, 0.003689165365088869, 0.003447454026037896, 0.003068423674752315, 0.0033486604483591188, 0.0031401518283894767, 0.0029543493529436767, 0.0030207313959383303, 0.0029240796877140246, 0.0029111759374952978, 0.002937338711624896, 0.002928485438503601, 0.0028436240671133556, 0.002799289775322433, 0.0028945389462427962, 0.0028480788503118136, 0.002776384319144267, 0.002896935506551354, 0.0027897116745373715, 0.002794847711575804, 0.002755985578039178, 0.0028440036586727256, 0.002788014839299851, 0.0027883024886250496, 0.00269740820793366, 0.002752555499750155, 0.0027496959772650843, 0.0027297016802347368, 0.002700929021186851, 0.002814049237511224, 0.002730797277763486, 0.0027072997677519365, 0.0026550638247971182, 0.0026763593346846326, 0.002671825854728619, 0.0025339980213040553, 0.0027214719534472184, 0.002607771066120929, 0.002590968057996145, 0.0026675843616464625, 0.002581051050650853, 0.0026377164672508283, 0.0025874505043719655, 0.002607824186001111, 0.0025898221000615093, 0.0025762375444173813]"
thetastdrat,"[0.0037482038869540084, 0.003070521506674166, 0.0031897895442286753, 0.0031505527747970707, 0.0029751354310099246, 0.0029596356007288087, 0.002774385616780733, 0.002899429716943008, 0.0029125442236380755, 0.0028796141246720305, 0.0028292727568801843, 0.002769205552297381, 0.0026553231313438067, 0.002506127207592692, 0.0024952405914312826, 0.0024039667530231317, 0.0025094403437215763, 0.002525574149880207, 0.002486136812224703, 0.0023394976786495943, 0.0021671867898647797, 0.002543364497745093, 0.0026022001160835883, 0.00259818092761737, 0.0025640111768020775, 0.0025171790061131964, 0.0024587361862496385, 0.0018490347396230922, 0.002542526254711567, 0.0026119247887213277]","[0.0030407915323006885, 0.0032620783981487707, 0.003267669506991903, 0.003161442259119617, 0.0028551095941414437, 0.0027626949293469943, 0.0029583742704104494, 0.0030046592949441184, 0.0029815628745213704, 0.0029360862293591103, 0.0028840993634528583, 0.0028062964858556233, 0.002608111059224164, 0.0026044868519184768, 0.0025619721057376374, 0.0025756427914732033, 0.0026198325299278454, 0.0026004185848351982, 0.0024753971956670284, 0.0021730007353687178, 0.0025824607712113196, 0.0026808750074080847, 0.0026961024764373346, 0.002672149817010871, 0.002629343118449604, 0.002576467460366311, 0.002365023186602802, 0.002849343068966711, 0.0026693060838927827, 0.0027333475149202125]"
xcorrmean,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
xcorrstd,"[0.032851102322621166, 0.033892884850502014, 0.03303321124107208, 0.026082191792018008, 0.021922445627597143, 0.020250863694357423, 0.01947887252383637, 0.020140767027184647, 0.01927376904015271, 0.01767164595284552, 0.013688073528684536, 0.012575583848750816, 0.009998967001249767, 0.00768352611833867, 0.005093041043025705, 0.0033374127475017646, 0.0024180104604588364, 0.001897762195681626, 0.0017148783817043844, 0.001519579510643797, 0.001382611845707837, 0.001267057417382328, 0.0013112665202363201, 0.0012275257657440204, 0.0011845172233528123, 0.001167107224112974, 0.0011364503539571503, 0.001136433658242788, 0.0010430875743897457, 0.0009894676897499077, 0.0009482317639268794, 0.0009608376037575445, 0.0009028753858797674, 0.0009632230745101313, 0.0009487823161454695, 0.0009813435213148313, 0.0010331595022196197, 0.001008529690498451, 0.0009964392278870604, 0.0009544676352063862, 0.0008669103746179421, 0.0008999647689051926, 0.0009830582860576094, 0.000981194425137046]","[0.03280139424734645, 0.03271381550089077, 0.030587436907269335, 0.02328224349077101, 0.020051620486709807, 0.01979823148360959, 0.020992039875299844, 0.019724165675816713, 0.01881978626328486, 0.01500287417460371, 0.014598776586353779, 0.012415852811601426, 0.009853451650727678, 0.006736907970022272, 0.004152189664266727, 0.0031162202789413707, 0.0024759843686802518, 0.0022420965704239076, 0.0018657360881291054, 0.0018921833036950342, 0.0018392632655040533, 0.0019712256724704748, 0.0016528141934907547, 0.0015800045328904634, 0.0018864607059017376, 0.0014654671497367046, 0.0017066657784636373, 0.0015120493437818907, 0.001558833940954948, 0.0014222669070241627, 0.0014424183216221907, 0.0013622812133420397, 0.0014366180748092356, 0.0013352672534960289, 0.0013600004474735921, 0.0015058229608392274, 0.0014231127850642359, 0.0015014196332130167, 0.0014912953936598366, 0.0013495127980907757, 0.0014381526141530937, 0.001396709833190673, 0.001413887875430562, 0.0014787745765513843]"
spike hz,"[0.5555472671985626, 0.25842515365132745, 0.2583710874588984, 0.2368814953655567, 0.20962778914649532, 0.19182948908715877, 0.17538674063277696, 0.16315988240376958, 0.14643486237750863, 0.12913769905297262, 0.11622840925207678, 0.1088235615840498, 0.1032596283926154, 0.09822318604532278, 0.09336775738113332, 0.08672199074952107, 0.0834319364490374, 0.07892377027925455, 0.07706888997048703, 0.07352107784376954, 0.06967539094247908, 0.06694441640152121, 0.06470268093190103, 0.06251944475016503, 0.06001707939606792, 0.05726301880939951, 0.0568959393872405, 0.056511092157858725, 0.07949825713656983, 0.08631306661749785, 0.07168836919766552, 0.06158596305352337, 0.05389092293269229, 0.04958563389362029, 0.0488052765996951, 0.04657923142021557, 0.04605986944065904, 0.04380841138509085, 0.04250872367114391, 0.040680204359990244, 0.03878687838760187, 0.03796246036324861, 0.037141976983479735, 0.03778474581129146, 0.03697057244069171, 0.035702999821811354, 0.03381469979319932, 0.032686815228102344, 0.031831291908363125, 0.03130472816948621, 0.03102898414967195, 0.031206528322314315, 0.029581296767266292, 0.032312701825263364, 0.03943023795507989, 0.05080867382996487, 0.07552578651680136, 0.10737186178283871, 0.071029145692317, 0.06991200528617175]","[0.37811213124681403, 0.33192516256261756, 0.3194672150744332, 0.2800531282469078, 0.2542106216704404, 0.24128543668323094, 0.23537669744756487, 0.20069199910870306, 0.17345071915123197, 0.15123849058592762, 0.13324127539440436, 0.12132570782193432, 0.11598287577982302, 0.11213793771134482, 0.10414660501259344, 0.09858430176973343, 0.09334510992522593, 0.09243230618260524, 0.08702028639338634, 0.0842300694849756, 0.08218879225077452, 0.07952110165799106, 0.07760910068949063, 0.077688194397423, 0.07502827586399184, 0.0750532237191995, 0.0738816104001469, 0.09428759498728646, 0.09873942258181395, 0.12035339518829628, 0.0865915374899352, 0.07282279224859343, 0.06914847219983737, 0.06846551390157805, 0.06873852966560258, 0.06801646630521174, 0.0657271315102224, 0.06594940178372243, 0.06348292005282861, 0.06265597583519088, 0.06250492938690716, 0.0614651958975527, 0.06177724263182393, 0.06093708867276156, 0.06379970880570235, 0.0593134093063849, 0.0577440259081346, 0.05830400699266681, 0.058576564959905764, 0.05580232927092799, 0.0574875406369015, 0.05671345966833609, 0.056014785612071, 0.06178382287422816, 0.0721826287055457, 0.095269240025017, 0.11034182224560667, 0.10394922754278889, 0.12037268943256801, 0.08006226216201429]"
artifact_annotation,"[5.677970254492841e-05, 7.51117558189984e-05, 7.938908743628142e-05, 5.492957993652144e-05, 2.6617057593061616e-05, 5.765171777657431e-06, 3.764381968069773e-06, 4.8496525658196815e-06, 2.614056387636014e-06, 9.352236365627487e-07, 1.0059863087625896e-06, 1.032605948822956e-06, 6.197354642214157e-07, 4.467399353759318e-07, 5.340236603447954e-07, 5.22320666483588e-07, 4.498318071240784e-07, 4.1583298287339447e-07, 4.3069408661722264e-07, 4.3448120539512773e-07, 4.347839073257349e-07, 4.389409544934474e-07, 4.4365586404637725e-07, 4.550830858147921e-07, 4.627613403920135e-07, 4.7380019987889134e-07, 4.900736083948017e-07, 5.020206535760426e-07, 5.1471522725341e-07, 5.295823446019467e-07, 5.461183740030634e-07]","[5.297155668678762e-05, 8.593921935513478e-05, 6.577175183877073e-05, 3.7859569770430595e-05, 1.0583550782164955e-05, 2.5683849782109504e-06, 5.1577513591770115e-06, 3.627273784971934e-06, 1.2092290683506657e-06, 7.953604747652005e-07, 1.1289137133914025e-06, 7.56720743942828e-07, 4.428256795984419e-07, 4.937564165596053e-07, 5.433704809884485e-07, 4.800670854752685e-07, 4.231224411173402e-07, 4.244044728491442e-07, 4.2770628388771676e-07, 4.423573614076304e-07, 4.212622423404321e-07, 4.403017149562166e-07, 4.5138048992359677e-07, 4.581545380443896e-07, 4.646953123533927e-07, 4.783590775837688e-07, 5.001201741463403e-07, 5.093576823532608e-07, 5.197935887803464e-07, 5.431808134475162e-07, 5.581255209108349e-07]"
